Global_79481 g_txtMissionFailReason
Global_79485 g_txtMissionFailAddText
Global_114370.f_2366.f_539.f_4321 g_savedGlobals.sPlayerData.sInfo.eCurrentPed
Global_114370.f_2366.f_539.f_4323 g_savedGlobals.sPlayerData.sInfo.eLastKnownPed
Global_114370.f_2366.f_539.f_4322 g_savedGlobals.sPlayerData.sInfo.ePreviousPed
Global_114370.f_18577 g_savedGlobals.sRandomChars.savedRC
Global_114370 g_savedGlobals
Global_113320 g_bDirectorForceSaveData
Global_43922 g_OnMissionState
Global_101392.f_20 g_replay.iReplayBits
Global_101392 g_replay
Global_113457 g_RandomChars
Global_95547 g_iLastObservedRetryStatusOnFail
Global_101429 g_replayMissionStage
Global_101429 g_replayMissionStage
Global_92160 g_sMissionStaticData
Global_95548 g_bShitskipOffered
Global_101426 g_bLaunchMinigameReplay
Global_44471 g_bPauseCommsQueues
Global_95549 g_bShitskipAccepted
Global_21025 g_Phone_Active_but_Hidden
Global_1956030 g_sDroneGlobals
Global_20813.f_1 g_cellphone.PhoneDS
Global_20813 g_cellphone
Global_8684 BitSet_CellphoneDisplay_Continued
Global_22166 g_ConversationStatus
Global_8683 BitSet_CellphoneDisplay
Global_20741 g_3dPhonePosVec
Global_20766 g_This_Screen_3dPhoneStartVec
Global_20758 g_Chosen_Ratio
Global_22219 g_CallRequiringPlayerResponse
Global_22215 g_LastCellphoneCallInterrupted
Global_23572 g_sSelectorUI
Global_43883 g_iCurrentCandidatesInList
Global_43885 g_CurrentlyRunningCandidateThread
Global_64035 g_bMissionStatSystemResponseToReplayNeeded
Global_64036 g_bMissionStatSystemResponseToShitskipNeeded
Global_79517 g_bEndScreenSuppressFadeIn
Global_64032 g_bMissionOverStatTrigger
Global_64059 g_bSuppressNextStatTrigger
Global_64058 g_MissionStatUIIgnoreFade
Global_64043 g_bMissionStatSystemUploadPending
Global_98741 g_piCreatedPlayerPedIDs
Global_79031 g_sTempCompData
Global_79029 g_iPedComponentNest
Global_101431 g_sAutosaveData
Global_114106 temp_Group_Num_of_Missions
Global_114107 temp_Group_Num_of_Minigames
Global_114108 temp_Group_Num_of_Oddjobs
Global_114109 temp_Group_Num_of_RandomChars
Global_114110 temp_Group_Num_of_RandomEvents
Global_114111 temp_Group_Num_of_Miscellaneous
Global_114112 temp_Group_Num_of_Friends
Global_114089 g_Group_Num_of_Missions
Global_1679827 MPAwdPlyDateStatNamesArray
Global_1679804 MPAwdPlyBoolStatNamesArray
Global_1679802 MPAwdPlyIntStatNamesArray
Global_113021 g_sFloatingHelpData
Global_32828 g_Private_Gamemode_Current
